,Ticker,Score,PE_Ratio,PB_Ratio,ROE,Dividend_Yield,Upside_Potential,Current_Price,Target_Price
214,GD,3,22.557165,3.536603,0.16952999,0.019299999,11.366784929886808,295.95,329.59
354,ODFL,3,36.0,10.5388365,0.30241,0.0050999997,-6.32418758513329,205.56,192.56
350,NVR,3,19.20917,6.7378488,0.38716,,4.8166121950414365,9390.21,9842.5
349,NVDA,3,65.19579,58.918495,1.23767,0.00029999999,6.702312946623756,139.519,148.87
103,CMG,3,51.96759,21.179245,0.45673,,16.31180400890868,56.125,65.28
130,COST,3,53.551,16.645533,0.30267,0.0052,5.602136723240236,887.34,937.05
127,CPAY,3,23.986546,8.322356,0.3341,,10.474053636129344,329.815,364.36
125,CPRT,3,37.846428,6.781646,0.20129,,7.936208360856845,52.985,57.19
122,STZ,3,75.72293,5.4827404,0.07111,0.016900001,22.584850906338062,237.77,291.47
116,CTSH,3,16.659292,2.5843432,0.16478,0.016,9.08366533864542,75.3,82.14
415,SHW,3,37.71984,22.811577,0.64452004,0.0076,4.940131631115685,378.33,397.02
414,NOW,3,151.2453,21.497068,0.16221,,3.0372842133537192,967.97,997.37
429,SYK,3,39.580475,6.9792833,0.18868,0.0087,7.438531811651172,368.89,396.33
419,SW,3,,1.4997146,,0.0364,10.17090911188403,52.0101,57.3
108,CTAS,3,52.772724,20.956678,0.40462002,0.0075,-0.46894439659297404,208.98,208.0
106,CI,3,29.85227,2.0931158,0.07606,0.0179,25.729602842278897,315.24,396.35
348,NUE,3,13.841827,1.6626819,0.13221,0.0150999995,12.687992775520108,143.955,162.22
346,NCLH,3,22.583334,9.970953,0.69788,,4.952417945232068,25.745,27.02
345,NOC,3,31.416258,5.0443435,0.15484,0.0162,9.500196001568018,510.2,558.67
342,NDSN,3,30.7771,5.063017,0.17406,0.0126,11.99540921323412,252.68,282.99
340,NKE,3,22.293495,8.319535,0.3798,0.019199999,18.129717766241704,77.8043,91.91
240,HUBB,3,31.340532,7.2672033,0.25344,0.0124,4.713773775613328,435.32,455.84
238,HWM,3,45.057777,9.794223,0.23174,0.0032,6.628526336555529,101.38,108.1
230,HES,3,16.138273,3.9404256,0.2885,0.014400001,16.72029210802213,138.305,161.43
258,IVZ,3,,0.7425225,-0.00944,0.0469,7.774647887323938,17.75,19.13
257,ISRG,3,82.76122,11.804384,0.15973,,4.416861917394432,516.43,539.24
256,INTU,3,59.32452,9.379371,0.16597,0.0067000003,17.810284047165602,616.975,726.86
251,INTC,3,,1.0063206,-0.15597,0.0224,8.238330823833074,23.245,25.16
250,PODD,3,43.341156,16.861658,0.50931,,3.1360626379575818,240.11,247.64
246,IDXX,3,39.94407,21.001877,0.59424,,18.074936024334875,414.22,489.09
336,NEM,3,,1.769983,-0.05159,0.0219,29.5627583206439,45.97,59.56
335,NFLX,3,43.232265,14.380119,0.34714,,-0.0008503996551278981,764.3465,764.34
334,NTAP,3,22.76908,25.67299,1.2042199,0.018,13.596905887408672,116.35,132.17
331,MSI,3,54.259388,96.15017,2.51541,0.0086,-0.7160007787319622,462.29,458.98
330,MOS,3,37.233334,0.76416826,0.02269,0.0297,18.531781557743955,27.925,33.1
438,TRGP,3,37.46737,15.808313,0.29883,0.0177,-3.197168062032929,177.97,172.28
95,COR,3,25.553144,50.170357,1.87717,0.0087,9.651952461799663,235.6,258.34
93,CDW,3,23.430317,10.866928,0.53360003,0.013099999,16.743191067515383,191.66,223.75
91,CBOE,3,29.196184,5.330448,0.19518,0.012,-0.013999066728886955,214.3,214.27
90,CAT,3,17.805943,9.574139,0.53475,0.015,-5.243260155394491,383.54,363.43
87,CCL,3,19.286581,3.3257627,0.20120001,,6.7568346088906495,22.5653,24.09
84,COF,3,15.603772,1.0864638,0.07479,0.0149,1.3301088270858408,165.4,167.6
434,TMUS,3,25.860317,4.110988,0.16087,0.015700001,6.461782667166394,226.795,241.45
328,MCO,3,42.001823,21.364458,0.54016,0.0074,8.206977451448939,460.34,498.12
327,MNST,3,33.946873,9.105616,0.24615,,0.8745282150418809,54.315,54.79
323,MOH,3,16.909761,3.9746547,0.26454002,,10.704568344783016,332.615,368.22
274,KEYS,3,29.68714,5.1315484,0.18031,,10.629081269800245,154.67,171.11
273,KEY,3,inf,1.1849161,0.0096700005,0.0481,6.316010351822032,17.1564,18.24
264,JKHY,3,35.435947,7.330512,0.22128999,0.0119,0.8579290994442212,185.33,186.92
261,IRM,3,160.53206,,0.81127,0.0234,-10.322245737331793,125.215,112.29
260,IQV,3,27.968462,5.547765,0.22001,,19.131742153730503,212.84,253.56
322,MHK,3,15.770317,1.1232094,0.07457,,12.320629808552507,139.725,156.94
53,AVY,3,24.77671,6.935148,0.30241,0.0171,14.390232084887833,206.39,236.09
80,CDNS,3,76.81002,17.495642,0.27072,,6.966438803201536,291.11,311.39
76,BLDR,3,15.847576,4.865954,0.32498002,,15.010841163062217,179.87,206.87
74,BRO,3,29.167574,4.7362947,0.18144,0.0057,4.115091783829228,107.045,111.45
73,BR,3,36.963375,11.678508,0.31667998,0.0168,0.3617928332757314,216.975,217.76
450,TT,3,35.32844,11.423316,0.35146,0.0089,4.425054534122785,385.08,402.12
449,TSCO,3,26.715956,12.859485,0.5058,0.0163,4.941013690649565,274.64,288.21
448,TJX,3,27.478155,16.409624,0.66199,0.013300001,13.33804434237258,113.21,128.31
444,TSLA,3,69.981125,11.681706,0.20389,,-13.701221640214612,254.7313,219.83
442,TFX,3,40.779762,2.1299107,0.05412,0.0066000004,20.021408066948876,205.53,246.68
460,ULTA,3,15.405221,7.7268147,0.54978,,3.6731927318230495,383.59,397.68
456,TSN,3,,1.1592519,0.00081,0.0336,5.603667855323469,58.89,62.19
454,TFC,3,,0.9515081,-0.09505,0.0494,11.05070322656896,42.305,46.98
63,BIIB,3,16.006334,1.5752863,0.1047,,42.404025555492744,176.87,251.87
54,AXON,3,116.121056,17.28872,0.17232001,,-3.6758373747903694,441.26,425.04
313,META,3,26.88154,8.738378,0.36134,0.0036000002,12.381958565703188,569.6199,640.15
290,LIN,3,34.752274,5.575977,0.1619,0.0121,8.83308264120506,458.73,499.25
287,LDOS,3,21.45108,5.4489365,0.27035,0.0086,7.634377237410828,188.555,202.95
286,LVS,3,24.945545,10.662294,0.45166,0.0156,16.173844016669968,50.39,58.54
285,LW,3,18.531689,6.1287947,0.37015,0.0186,-1.1843688643992545,78.945,78.01
6,AMD,3,124.93548,4.0208793,0.03262,,31.28191470146362,141.1771,185.34
49,ADSK,3,59.62066,25.336319,0.57445997,,2.8726268672074617,291.545,299.92
44,ANET,3,52.37078,15.023285,0.34463,,-6.002405425847169,403.255,379.05
39,AAPL,3,36.62159,59.20507,1.5741299,0.0045,7.404758648674692,223.0255,239.54
37,AON,3,31.575045,12.765334,0.82182,0.0074,5.20011407928509,368.165,387.31
465,UNH,3,36.892788,5.2866416,0.15252,0.0150999995,9.655148120751011,567.78,622.6
464,URI,3,20.77055,6.07512,0.31401,0.0083,-1.2987831391355287,793.435,783.13
306,MA,3,38.143394,62.49536,1.7757801,0.0052,8.660466956865843,505.4,549.17
305,MAS,3,21.694149,,5.70874,0.014400001,7.306607821503008,81.57,87.53
304,MLM,3,18.10949,3.8917885,0.23437001,0.0054,9.230110473580533,583.85,637.74
476,V,3,30.185184,14.613737,0.50708,0.0081,9.536468984321743,293.4,321.38
471,VRSK,3,43.291683,132.59227,2.65609,0.0056,2.262575499265007,280.963,287.32
469,VLTO,3,31.935186,13.089184,0.5368,0.0034999999,10.6697593505364,103.47,114.51
34,APH,3,39.462856,8.806427,0.25293,0.0097,11.033883579496106,69.06,76.68
31,AMP,3,19.587032,8.709938,0.56751,0.0117,2.6239978125213836,512.005,525.44
27,AXP,3,20.214127,6.5101786,0.3469,0.0104,0.4550252994066417,274.71,275.96
23,AMCR,3,19.292454,3.7688906,0.1958,0.05,5.525672371638146,10.225,10.79
22,AMZN,3,42.559532,8.0786295,0.22558,,14.93202583008415,199.1786,228.92
502,ZTS,3,32.958725,16.053185,,0.0099,24.42648147093984,175.67,218.58
491,WST,3,48.186203,8.5557165,0.17778,0.0027,10.304056654607052,324.775,358.24
